name;description;quantity;itemtype;flowtype;acidification amount;acidification units;climate change amount;climate change units;freshwater ecotoxicity amount;freshwater ecotoxicity units;freshwater eutrophication amount;freshwater eutrophication units;human toxicity, cancer effects amount;human toxicity_1, cancer effects units;human toxicity_2, non-cancer effects amount;human toxicity_3, non-cancer effects units;ionizing radiation e (interim) amount;ionizing radiation e (interim) units;ionizing radiation hh amount;ionizing radiation hh units;land use amount;land use units;marine eutrophication amount;marine eutrophication units;mineral, fossil & ren resource depletion amount;mineral_1, fossil & ren resource depletion units;ozone depletion amount;ozone depletion units;particulate matter amount;particulate matter units;photochemical ozone formation amount;photochemical ozone formation units;terrestrial eutrophication amount;terrestrial eutrophication units;water resource depletion amount;water resource depletion units;id
EOL plastic;;0.134;Single Use;End of Life;-0.0152;molc H+ eq;1.09103;kg CO2 eq;-0.07056;CTUe;-3.7e-06;kg P eq;-1.26e-09;CTUh;-5.54e-08;CTUh;-2.5e-06;CTUe;-0.25371;kBq U235 eq;0;kg C deficit;-0.00154;kg N eq;-1.96e-07;kg Sb eq;-2.09e-07;kg CFC-11 eq;-0.00084;kg PM2.5 eq;-0.00492;kg NMVOC eq;-0.01591;molc N eq;0.0005;m3 water eq;43817249-a62c-459b-82f3-e9cf4b12d9bd
PP;;0.131;Single Use;Production;0.00739;molc H+ eq;1.96582;kg CO2 eq;0.02366;CTUe;0.00018;kg P eq;1.38e-11;CTUh;1.73e-09;CTUh;0.0;CTUe;0.0;kBq U235 eq;0;kg C deficit;0.00131;kg N eq;5.19e-07;kg Sb eq;0.0;kg CFC-11 eq;0.00039;kg PM2.5 eq;0.00751;kg NMVOC eq;0.014;molc N eq;0.00052;m3 water eq;8ea5fe90-d129-44a2-b1fd-a49fb892e057
PP;;0.003;Single Use;Packaging;0.00739;molc H+ eq;1.96582;kg CO2 eq;0.02366;CTUe;0.00018;kg P eq;1.38e-11;CTUh;1.73e-09;CTUh;0.0;CTUe;0.0;kBq U235 eq;0;kg C deficit;0.00131;kg N eq;5.19e-07;kg Sb eq;0.0;kg CFC-11 eq;0.00039;kg PM2.5 eq;0.00751;kg NMVOC eq;0.014;molc N eq;0.00052;m3 water eq;0c19fd0d-c389-41a6-b756-68fd0ab273fd
PE-LD;;0.003;Single Use;Packaging;0.00939;molc H+ eq;2.09513;kg CO2 eq;0.05462;CTUe;9.52e-07;kg P eq;2.67e-11;CTUh;3.71e-09;CTUh;0.0;CTUe;0.0;kBq U235 eq;0;kg C deficit;0.00148;kg N eq;5.27e-07;kg Sb eq;0.0;kg CFC-11 eq;0.00049;kg PM2.5 eq;0.00912;kg NMVOC eq;0.01613;molc N eq;0.00076;m3 water eq;d17977e2-ec9e-4973-91f4-3bdaf7384aee
Water;;0.01;Single Use;Production;1.97e-06;molc H+ eq;0.00063;kg CO2 eq;7.56e-05;CTUe;5.82e-10;kg P eq;3.1e-12;CTUh;4.64e-12;CTUh;1.32e-10;CTUe;1.34e-05;kBq U235 eq;0;kg C deficit;6.21e-07;kg N eq;1.44e-10;kg Sb eq;1.26e-11;kg CFC-11 eq;6.74e-08;kg PM2.5 eq;1.33e-06;kg NMVOC eq;5.17e-06;molc N eq;0.00016;m3 water eq;1891170e-4bfd-455f-be86-40ae248340c8
Vrachtwagen;;0.024;Single Use;Transport;0.00044;molc H+ eq;0.06573;kg CO2 eq;0.00213;CTUe;2.1e-07;kg P eq;3.45e-11;CTUh;2.09e-10;CTUh;1.6e-09;CTUe;0.00016;kBq U235 eq;0;kg C deficit;0.00021;kg N eq;7.19e-09;kg Sb eq;1.33e-10;kg CFC-11 eq;1.73e-05;kg PM2.5 eq;0.00058;kg NMVOC eq;0.0023;molc N eq;8.58e-07;m3 water eq;94eef03f-cfa2-4f0d-a6f9-610376b5d8d7
Elektriciteit;;3.2;Single Use;Production;0.00083;molc H+ eq;0.48774;kg CO2 eq;0.00867;CTUe;2.35e-08;kg P eq;2.96e-10;CTUh;6.04e-09;CTUh;5.42e-07;CTUe;0.03513;kBq U235 eq;0.01501;kg C deficit;0.00023;kg N eq;5.16e-08;kg Sb eq;1.62e-08;kg CFC-11 eq;3.71e-05;kg PM2.5 eq;0.00066;kg NMVOC eq;0.00257;molc N eq;0.06326;m3 water eq;edb069c9-92b5-4d8f-8d20-1a3a6e95ad68
Elektriciteit;;0.024;Single Use;Usage;0.00083;molc H+ eq;0.48774;kg CO2 eq;0.00867;CTUe;2.35e-08;kg P eq;2.96e-10;CTUh;6.04e-09;CTUh;5.42e-07;CTUe;0.03513;kBq U235 eq;0.01501;kg C deficit;0.00023;kg N eq;5.16e-08;kg Sb eq;1.62e-08;kg CFC-11 eq;3.71e-05;kg PM2.5 eq;0.00066;kg NMVOC eq;0.00257;molc N eq;0.06326;m3 water eq;520cd8c5-6c1e-494f-9922-b25f07d9b5e4
EOL textiel;;1.0;Traditioneel wassen;End of Life;1.29879;molc H+ eq;1490.47775;kg CO2 eq;0.61433;CTUe;0.00016;kg P eq;2.35396e-07;CTUh;2.42035e-05;CTUh;3.38798e-05;CTUe;3.42724;kBq U235 eq;0;kg C deficit;0.57326;kg N eq;-1.18643e-05;kg Sb eq;2.90071e-06;kg CFC-11 eq;0.01941;kg PM2.5 eq;1.47303;kg NMVOC eq;6.53884;molc N eq;0.4276;m3 water eq;614513e1-9456-41a6-b312-92c842cc0d65
Katoen;;1.0;Traditioneel wassen;Production;0.72;molc H+ eq;8.76;kg CO2 eq;0.0;;12.6;kg P eq;0.0;;0.0;;0.0;;0.0;;0;;0.0;;0.0;;0.0;;0.0;;0.0;;0.0;;0.0;;758ae200-6505-4f8b-a7a1-73d30c7bb777
